replay_id,player_slot,won_battle,sum_hp_self,sum_hp_opp,sum_hp_diff,mean_hp_self,mean_hp_opp,mean_hp_diff,sum_attack_self,sum_attack_opp,sum_attack_diff,mean_attack_self,mean_attack_opp,mean_attack_diff,sum_defense_self,sum_defense_opp,sum_defense_diff,mean_defense_self,mean_defense_opp,mean_defense_diff,sum_sp_attack_self,sum_sp_attack_opp,sum_sp_attack_diff,mean_sp_attack_self,mean_sp_attack_opp,mean_sp_attack_diff,sum_sp_defense_self,sum_sp_defense_opp,sum_sp_defense_diff,mean_sp_defense_self,mean_sp_defense_opp,mean_sp_defense_diff,sum_speed_self,sum_speed_opp,sum_speed_diff,mean_speed_self,mean_speed_opp,mean_speed_diff,turns_self,turns_opp,turns_diff,rating_diff_self,rating_diff_opp,rating_diff_diff,has_rating_info_self,has_rating_info_opp,has_rating_info_diff,team_size_self,team_size_opp,team_size_diff,player_rating_self,player_rating_opp,player_rating_diff,opponent_rating_self,opponent_rating_opp,opponent_rating_diff,agg_offense_self,agg_offense_opp,agg_offense_diff,agg_defense_self,agg_defense_opp,agg_defense_diff,bulk_index_self,bulk_index_opp,bulk_index_diff,offense_defense_diff_self,offense_defense_diff_opp,offense_defense_diff_diff,speed_pressure_self,speed_pressure_opp,speed_pressure_diff,stat_spread_self,stat_spread_opp,stat_spread_diff,pk_great_tusk_self,pk_great_tusk_opp,pk_great_tusk_diff,pk_gholdengo_self,pk_gholdengo_opp,pk_gholdengo_diff,pk_kingambit_self,pk_kingambit_opp,pk_kingambit_diff,pk_ogerpon_wellspring_self,pk_ogerpon_wellspring_opp,pk_ogerpon_wellspring_diff,pk_dragapult_self,pk_dragapult_opp,pk_dragapult_diff,pk_corviknight_self,pk_corviknight_opp,pk_corviknight_diff,pk_zamazenta_*_self,pk_zamazenta_*_opp,pk_zamazenta_*_diff,pk_dragonite_self,pk_dragonite_opp,pk_dragonite_diff,pk_gliscor_self,pk_gliscor_opp,pk_gliscor_diff,pk_slowking_galar_self,pk_slowking_galar_opp,pk_slowking_galar_diff,pk_hatterene_self,pk_hatterene_opp,pk_hatterene_diff,pk_raging_bolt_self,pk_raging_bolt_opp,pk_raging_bolt_diff,pk_iron_valiant_self,pk_iron_valiant_opp,pk_iron_valiant_diff,pk_cinderace_self,pk_cinderace_opp,pk_cinderace_diff,pk_landorus_therian_self,pk_landorus_therian_opp,pk_landorus_therian_diff,pk_alomomola_self,pk_alomomola_opp,pk_alomomola_diff,pk_walking_wake_self,pk_walking_wake_opp,pk_walking_wake_diff,pk_darkrai_self,pk_darkrai_opp,pk_darkrai_diff,pk_iron_treads_self,pk_iron_treads_opp,pk_iron_treads_diff,pk_ceruledge_self,pk_ceruledge_opp,pk_ceruledge_diff,pk_kyurem_self,pk_kyurem_opp,pk_kyurem_diff,pk_pecharunt_self,pk_pecharunt_opp,pk_pecharunt_diff,pk_garganacl_self,pk_garganacl_opp,pk_garganacl_diff,pk_ting_lu_self,pk_ting_lu_opp,pk_ting_lu_diff,pk_zapdos_self,pk_zapdos_opp,pk_zapdos_diff,pk_tyranitar_self,pk_tyranitar_opp,pk_tyranitar_diff,pk_rillaboom_self,pk_rillaboom_opp,pk_rillaboom_diff,pk_glimmora_self,pk_glimmora_opp,pk_glimmora_diff,pk_scizor_self,pk_scizor_opp,pk_scizor_diff,pk_torkoal_self,pk_torkoal_opp,pk_torkoal_diff,pk_samurott_hisui_self,pk_samurott_hisui_opp,pk_samurott_hisui_diff,pk_clefable_self,pk_clefable_opp,pk_clefable_diff,pk_heatran_self,pk_heatran_opp,pk_heatran_diff,pk_excadrill_self,pk_excadrill_opp,pk_excadrill_diff,pk_iron_moth_self,pk_iron_moth_opp,pk_iron_moth_diff,pk_primarina_self,pk_primarina_opp,pk_primarina_diff,pk_dondozo_self,pk_dondozo_opp,pk_dondozo_diff,pk_pelipper_self,pk_pelipper_opp,pk_pelipper_diff,pk_clodsire_self,pk_clodsire_opp,pk_clodsire_diff,pk_deoxys_speed_self,pk_deoxys_speed_opp,pk_deoxys_speed_diff,pk_meowscarada_self,pk_meowscarada_opp,pk_meowscarada_diff,pk_garchomp_self,pk_garchomp_opp,pk_garchomp_diff,pk_blissey_self,pk_blissey_opp,pk_blissey_diff,pk_toxapex_self,pk_toxapex_opp,pk_toxapex_diff,pk_weavile_self,pk_weavile_opp,pk_weavile_diff,pk_tornadus_therian_self,pk_tornadus_therian_opp,pk_tornadus_therian_diff,pk_iron_hands_self,pk_iron_hands_opp,pk_iron_hands_diff,pk_iron_crown_self,pk_iron_crown_opp,pk_iron_crown_diff,pk_chesnaught_self,pk_chesnaught_opp,pk_chesnaught_diff,pk_greninja_*_self,pk_greninja_*_opp,pk_greninja_*_diff
gen9ou-2486596356,p1,0,495.0,690.0,-195.0,82.5,115.0,-32.5,567.0,487.0,80.0,94.5,81.16666666666667,13.333333333333329,585.0,484.0,101.0,97.5,80.66666666666667,16.83333333333333,499.0,423.0,76.0,83.16666666666667,70.5,12.666666666666671,582.0,542.0,40.0,97.0,90.33333333333331,6.666666666666686,469.0,474.0,-5.0,78.16666666666667,79.0,-0.8333333333333286,60,60,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1245.0,19.0,1245.0,1264.0,-19.0,1066.0,910.0,156.0,1167.0,1026.0,141.0,1662.0,1716.0,-54.0,-101.0,-116.0,15.0,7386.75,6412.166666666667,974.583333333333,234.48177825796364,233.65910519617557,0.8226730617880662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486596356,p2,1,690.0,495.0,195.0,115.0,82.5,32.5,487.0,567.0,-80.0,81.16666666666667,94.5,-13.333333333333329,484.0,585.0,-101.0,80.66666666666667,97.5,-16.83333333333333,423.0,499.0,-76.0,70.5,83.16666666666667,-12.666666666666671,542.0,582.0,-40.0,90.33333333333331,97.0,-6.666666666666686,474.0,469.0,5.0,79.0,78.16666666666667,0.8333333333333286,60,60,0,0.0,0.0,0.0,0,0,0,6,6,0,1245.0,1264.0,-19.0,1264.0,1245.0,19.0,910.0,1066.0,-156.0,1026.0,1167.0,-141.0,1716.0,1662.0,54.0,-116.0,-101.0,-15.0,6412.166666666667,7386.75,-974.583333333333,233.65910519617557,234.48177825796364,-0.8226730617880662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486596363,p1,0,577.0,471.0,106.0,96.16666666666669,78.5,17.666666666666686,716.0,535.0,181.0,119.33333333333331,89.16666666666667,30.166666666666643,501.0,605.0,-104.0,83.5,100.83333333333331,-17.333333333333314,485.0,520.0,-35.0,80.83333333333333,86.66666666666667,-5.833333333333343,476.0,506.0,-30.0,79.33333333333333,84.33333333333333,-5.0,613.0,498.0,115.0,102.16666666666669,83.0,19.166666666666686,15,15,0,-10.0,10.0,-20.0,1,1,0,6,6,0,1101.0,1111.0,-10.0,1111.0,1101.0,10.0,1201.0,1055.0,146.0,977.0,1111.0,-134.0,1554.0,1582.0,-28.0,224.0,-56.0,280.0,12191.888888888889,7400.833333333334,4791.055555555555,252.48657663422702,229.53470859435384,22.951868039873176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486596363,p2,1,471.0,577.0,-106.0,78.5,96.16666666666669,-17.666666666666686,535.0,716.0,-181.0,89.16666666666667,119.33333333333331,-30.166666666666643,605.0,501.0,104.0,100.83333333333331,83.5,17.333333333333314,520.0,485.0,35.0,86.66666666666667,80.83333333333333,5.833333333333343,506.0,476.0,30.0,84.33333333333333,79.33333333333333,5.0,498.0,613.0,-115.0,83.0,102.16666666666669,-19.166666666666686,15,15,0,10.0,-10.0,20.0,1,1,0,6,6,0,1111.0,1101.0,10.0,1101.0,1111.0,-10.0,1055.0,1201.0,-146.0,1111.0,977.0,134.0,1582.0,1554.0,28.0,-56.0,224.0,-280.0,7400.833333333334,12191.888888888889,-4791.055555555555,229.53470859435384,252.48657663422702,-22.951868039873176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486598415,p1,1,561.0,487.0,74.0,93.5,81.16666666666667,12.333333333333329,642.0,511.0,131.0,107.0,85.16666666666667,21.83333333333333,554.0,541.0,13.0,92.33333333333331,90.16666666666669,2.1666666666666288,483.0,513.0,-30.0,80.5,85.5,-5.0,566.0,507.0,59.0,94.33333333333331,84.5,9.833333333333314,589.0,411.0,178.0,98.16666666666669,68.5,29.666666666666686,6,6,0,0.0,0.0,0.0,0,0,0,6,6,0,1161.0,1264.0,-103.0,1264.0,1161.0,103.0,1125.0,1024.0,101.0,1120.0,1048.0,72.0,1681.0,1535.0,146.0,5.0,-24.0,29.0,10503.833333333336,5833.916666666667,4669.916666666669,248.76958283744787,217.57034738356708,31.19923545388079,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486598415,p2,0,487.0,561.0,-74.0,81.16666666666667,93.5,-12.333333333333329,511.0,642.0,-131.0,85.16666666666667,107.0,-21.83333333333333,541.0,554.0,-13.0,90.16666666666669,92.33333333333331,-2.1666666666666288,513.0,483.0,30.0,85.5,80.5,5.0,507.0,566.0,-59.0,84.5,94.33333333333331,-9.833333333333314,411.0,589.0,-178.0,68.5,98.16666666666669,-29.666666666666686,6,6,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1161.0,103.0,1161.0,1264.0,-103.0,1024.0,1125.0,-101.0,1048.0,1120.0,-72.0,1535.0,1681.0,-146.0,-24.0,5.0,-29.0,5833.916666666667,10503.833333333336,-4669.916666666669,217.57034738356708,248.76958283744787,-31.19923545388079,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486600954,p1,1,459.0,571.0,-112.0,76.5,95.16666666666669,-18.666666666666686,641.0,576.0,65.0,106.83333333333331,96.0,10.833333333333314,525.0,591.0,-66.0,87.5,98.5,-11.0,585.0,578.0,7.0,97.5,96.33333333333331,1.1666666666666856,535.0,508.0,27.0,89.16666666666667,84.66666666666667,4.5,825.0,431.0,394.0,137.5,71.83333333333333,65.66666666666667,9,9,0,0.0,0.0,0.0,0,0,0,6,6,0,1511.0,1264.0,247.0,1264.0,1511.0,-247.0,1226.0,1154.0,72.0,1060.0,1099.0,-39.0,1519.0,1670.0,-151.0,166.0,55.0,111.0,14689.58333333333,6896.0,7793.58333333333,273.35374554232874,239.8560187325351,33.49772680979365,0,1,-1,0,0,0,0,1,-1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486600954,p2,0,571.0,459.0,112.0,95.16666666666669,76.5,18.666666666666686,576.0,641.0,-65.0,96.0,106.83333333333331,-10.833333333333314,591.0,525.0,66.0,98.5,87.5,11.0,578.0,585.0,-7.0,96.33333333333331,97.5,-1.1666666666666856,508.0,535.0,-27.0,84.66666666666667,89.16666666666667,-4.5,431.0,825.0,-394.0,71.83333333333333,137.5,-65.66666666666667,9,9,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1511.0,-247.0,1511.0,1264.0,247.0,1154.0,1226.0,-72.0,1099.0,1060.0,39.0,1670.0,1519.0,151.0,55.0,166.0,-111.0,6896.0,14689.58333333333,-7793.58333333333,239.8560187325351,273.35374554232874,-33.49772680979365,1,0,1,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486603049,p1,0,429.0,563.0,-134.0,71.5,93.83333333333331,-22.333333333333314,668.0,721.0,-53.0,111.33333333333331,120.16666666666669,-8.833333333333371,495.0,545.0,-50.0,82.5,90.83333333333331,-8.333333333333314,470.0,590.0,-120.0,78.33333333333333,98.33333333333331,-19.999999999999986,455.0,500.0,-45.0,75.83333333333333,83.33333333333333,-7.5,603.0,501.0,102.0,100.5,83.5,17.0,25,25,0,-71.0,71.0,-142.0,1,1,0,6,6,0,1237.0,1308.0,-71.0,1308.0,1237.0,71.0,1138.0,1311.0,-173.0,950.0,1045.0,-95.0,1379.0,1608.0,-229.0,188.0,266.0,-78.0,11188.999999999998,10033.916666666668,1155.0833333333303,235.29311185168274,254.29806340297804,-19.004951551295306,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486603049,p2,1,563.0,429.0,134.0,93.83333333333331,71.5,22.333333333333314,721.0,668.0,53.0,120.16666666666669,111.33333333333331,8.833333333333371,545.0,495.0,50.0,90.83333333333331,82.5,8.333333333333314,590.0,470.0,120.0,98.33333333333331,78.33333333333333,19.999999999999986,500.0,455.0,45.0,83.33333333333333,75.83333333333333,7.5,501.0,603.0,-102.0,83.5,100.5,-17.0,25,25,0,71.0,-71.0,142.0,1,1,0,6,6,0,1308.0,1237.0,71.0,1237.0,1308.0,-71.0,1311.0,1138.0,173.0,1045.0,950.0,95.0,1608.0,1379.0,229.0,266.0,188.0,78.0,10033.916666666668,11188.999999999998,-1155.0833333333303,254.29806340297804,235.29311185168274,19.004951551295306,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486603467,p1,1,540.0,489.0,51.0,90.0,81.5,8.5,607.0,632.0,-25.0,101.16666666666669,105.33333333333331,-4.166666666666629,540.0,584.0,-44.0,90.0,97.33333333333331,-7.333333333333314,585.0,603.0,-18.0,97.5,100.5,-3.0,526.0,579.0,-53.0,87.66666666666667,96.5,-8.833333333333329,472.0,583.0,-111.0,78.66666666666667,97.16666666666669,-18.500000000000014,23,23,0,0.0,0.0,0.0,0,0,0,6,6,0,1439.0,1264.0,175.0,1264.0,1439.0,-175.0,1192.0,1235.0,-43.0,1066.0,1163.0,-97.0,1606.0,1652.0,-46.0,126.0,72.0,54.0,7958.444444444446,10234.888888888889,-2276.4444444444425,239.3735669313856,253.81717982518595,-14.44361289380035,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486603467,p2,0,489.0,540.0,-51.0,81.5,90.0,-8.5,632.0,607.0,25.0,105.33333333333331,101.16666666666669,4.166666666666629,584.0,540.0,44.0,97.33333333333331,90.0,7.333333333333314,603.0,585.0,18.0,100.5,97.5,3.0,579.0,526.0,53.0,96.5,87.66666666666667,8.833333333333329,583.0,472.0,111.0,97.16666666666669,78.66666666666667,18.500000000000014,23,23,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1439.0,-175.0,1439.0,1264.0,175.0,1235.0,1192.0,43.0,1163.0,1066.0,97.0,1652.0,1606.0,46.0,72.0,126.0,-54.0,10234.888888888889,7958.444444444446,2276.4444444444425,253.81717982518595,239.3735669313856,14.44361289380035,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486604103,p1,1,472.0,616.0,-144.0,78.66666666666667,102.66666666666669,-24.000000000000014,503.0,622.0,-119.0,83.83333333333333,103.66666666666669,-19.833333333333357,632.0,515.0,117.0,105.33333333333331,85.83333333333333,19.499999999999986,508.0,464.0,44.0,84.66666666666667,77.33333333333333,7.333333333333343,567.0,455.0,112.0,94.5,75.83333333333333,18.66666666666667,443.0,503.0,-60.0,73.83333333333333,83.83333333333333,-10.0,88,88,0,0.0,0.0,0.0,0,0,0,6,6,0,1185.0,1264.0,-79.0,1264.0,1185.0,79.0,1011.0,1086.0,-75.0,1199.0,970.0,229.0,1671.0,1586.0,85.0,-188.0,116.0,-304.0,6189.694444444443,8690.722222222223,-2501.027777777779,231.4392873497415,235.66241754273747,-4.223130192995967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486604103,p2,0,616.0,472.0,144.0,102.66666666666669,78.66666666666667,24.000000000000014,622.0,503.0,119.0,103.66666666666669,83.83333333333333,19.833333333333357,515.0,632.0,-117.0,85.83333333333333,105.33333333333331,-19.499999999999986,464.0,508.0,-44.0,77.33333333333333,84.66666666666667,-7.333333333333343,455.0,567.0,-112.0,75.83333333333333,94.5,-18.66666666666667,503.0,443.0,60.0,83.83333333333333,73.83333333333333,10.0,88,88,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1185.0,79.0,1185.0,1264.0,-79.0,1086.0,1011.0,75.0,970.0,1199.0,-229.0,1586.0,1671.0,-85.0,116.0,-188.0,304.0,8690.722222222223,6189.694444444443,2501.027777777779,235.66241754273747,231.4392873497415,4.223130192995967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486604725,p1,1,643.0,500.0,143.0,107.16666666666669,83.33333333333333,23.833333333333357,692.0,598.0,94.0,115.33333333333331,99.66666666666669,15.666666666666629,621.0,590.0,31.0,103.5,98.33333333333331,5.166666666666686,426.0,525.0,-99.0,71.0,87.5,-16.5,428.0,491.0,-63.0,71.33333333333333,81.83333333333333,-10.5,465.0,521.0,-56.0,77.5,86.83333333333333,-9.333333333333329,21,21,0,0.0,0.0,0.0,0,0,0,6,6,0,1154.0,1264.0,-110.0,1264.0,1154.0,110.0,1118.0,1123.0,-5.0,1049.0,1081.0,-32.0,1692.0,1581.0,111.0,69.0,42.0,27.0,8938.333333333332,8654.38888888889,283.9444444444416,251.16265463339008,235.9874389419569,15.17521569143318,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486604725,p2,0,500.0,643.0,-143.0,83.33333333333333,107.16666666666669,-23.833333333333357,598.0,692.0,-94.0,99.66666666666669,115.33333333333331,-15.666666666666629,590.0,621.0,-31.0,98.33333333333331,103.5,-5.166666666666686,525.0,426.0,99.0,87.5,71.0,16.5,491.0,428.0,63.0,81.83333333333333,71.33333333333333,10.5,521.0,465.0,56.0,86.83333333333333,77.5,9.333333333333329,21,21,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1154.0,110.0,1154.0,1264.0,-110.0,1123.0,1118.0,5.0,1081.0,1049.0,32.0,1581.0,1692.0,-111.0,42.0,69.0,-27.0,8654.38888888889,8938.333333333332,-283.9444444444416,235.9874389419569,251.16265463339008,-15.17521569143318,0,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen9ou-2486604811,p1,0,498.0,457.0,41.0,83.0,76.16666666666667,6.833333333333329,466.0,627.0,-161.0,77.66666666666667,104.5,-26.83333333333333,468.0,516.0,-48.0,78.0,86.0,-8.0,670.0,614.0,56.0,111.66666666666669,102.33333333333331,9.333333333333371,483.0,499.0,-16.0,80.5,83.16666666666667,-2.6666666666666714,478.0,453.0,25.0,79.66666666666667,75.5,4.166666666666671,22,22,0,0.0,0.0,0.0,0,0,0,6,6,0,1264.0,1000.0,264.0,1000.0,1264.0,-264.0,1136.0,1241.0,-105.0,951.0,1015.0,-64.0,1449.0,1472.0,-23.0,185.0,226.0,-41.0,6187.444444444445,7889.75,-1702.3055555555547,228.63230951583694,235.432975657481,-6.800666141644058,0,0,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
